filename,treatment,treatment2,treatment3,spoken_comment,written_comment,opened,clicked,unsub,gender,english,age,yearbuilt,units,lowrise,mid_highrise,dem,rep,npp,vote_2020_general,vote_2017_municipal,vote_2016_general
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,1,1,32,1962,8,1,0,1,0,0,1,0,1
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,1,1,33,1923,16,1,0,1,0,0,0,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,0,1,36,1969,74,1,0,0,0,1,0,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,1,0,0,1,1,59,1962,8,1,0,0,1,0,1,0,1
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,1,1,34,1960,8,1,0,1,0,0,1,0,1
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,0,1,61,1964,51,1,0,1,0,0,1,0,1
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,1,1,59,1937,8,1,0,1,0,0,1,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,0.55113796,0.977381287,37.81188536,1959.11783,24.49654686,0.975410988,0.022621891,0.587946052,0.091317786,0.243748244,0.739393088,0.057881427,0.372998033
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,1,1,28,1973,16,1,0,1,0,0,1,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,0,1,59,1965,14,1,0,1,0,0,1,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,1,0,1,1,1,26,1951,8,1,0,0,0,0,1,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,0,1,24,1948,7,1,0,0,1,0,1,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,0,1,23,1915,25,1,0,1,0,0,0,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,0,1,81,1987,14,1,0,1,0,0,1,1,1
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,1,1,28,1957,6,1,0,1,0,0,0,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,1,0,0,0.55113796,0.977381287,37.81188536,1959.11783,24.49654686,0.975410988,0.022621891,0.587946052,0.091317786,0.243748244,0.739393088,0.057881427,0.372998033
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,0,1,45,1953,6,1,0,0,0,1,0,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,1,1,39,1953,7,1,0,1,0,0,1,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,1,1,31,1963,11,1,0,0,0,1,0,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,1,1,42,1947,6,1,0,1,0,0,1,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,0,1,20,1985,5,1,0,1,0,0,1,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,1,0,0,0,1,58,1923,10,1,0,0,1,0,1,0,1
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,1,0,0,0,1,26,1928,8,1,0,0,1,0,1,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,0,1,29,1944,6,1,0,0,1,0,1,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,1,1,41,1958,14,1,0,1,0,0,1,0,1
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,0,1,63,1973,8,1,0,1,0,0,0,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,1,0,0,1,1,65,1947,16,1,0,1,0,0,1,0,1
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,1,1,24,1929,16,1,0,0,0,1,0,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,0,1,40,1965,74,1,0,0,0,1,1,0,1
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,0.55113796,0.977381287,37.81188536,1959.11783,24.49654686,0.975410988,0.022621891,0.587946052,0.091317786,0.243748244,0.739393088,0.057881427,0.372998033
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,1,1,36,1928,5,1,0,0,0,1,1,0,1
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,1,1,55,1950,8,1,0,1,0,0,0,0,1
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,1,1,50,1957,7,1,0,1,0,0,1,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,0,1,35,1923,6,1,0,1,0,0,1,0,1
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,1,1,22,1923,10,1,0,1,0,0,1,0,1
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,1,1,24,1953,6,1,0,1,0,0,1,0,1
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,0,1,33,1929,27,1,0,1,0,0,1,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,1,0,0,1,1,37,1965,32,1,0,1,0,0,0,0,1
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,1,0,0,0,1,31,1970,51,1,0,0,1,0,0,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,0,1,44,1906,6,1,0,0,1,0,0,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,1,1,65,1941,9,1,0,0,0,0,1,0,1
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,1,1,32,1905,9,1,0,1,0,0,1,0,1
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,1,0,0,1,1,35,1959,9,1,0,1,0,0,1,0,1
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,1,0,0,0,1,51,1923,12,1,0,0,0,1,0,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,1,0,0,0.55113796,0.977381287,37.81188536,1959.11783,24.49654686,0.975410988,0.022621891,0.587946052,0.091317786,0.243748244,0.739393088,0.057881427,0.372998033
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,0,1,28,1987,16,1,0,0,0,1,0,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,1,1,29,1987,8,1,0,0,0,1,1,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,1,1,39,1927,12,1,0,1,0,0,1,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,1,1,30,1919,5,1,0,1,0,0,1,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,1,0,0,1,1,31,1988,15,1,0,1,0,0,0,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,1,0,0,1,1,62,1923,5,1,0,1,0,0,1,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,1,1,20,1965,32,1,0,1,0,0,1,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,1,1,35,1954,8,1,0,1,0,0,0,0,1
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,1,0,0,1,1,25,1986,201,0,1,1,0,0,1,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,1,0,0,0,1,28,1960,19,1,0,1,0,0,0,0,1
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,1,0,0,1,1,26,1989,12,1,0,1,0,0,1,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,1,1,29,1952,10,1,0,1,0,0,1,0,1
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,0,1,67,1957,48,1,0,0,1,0,1,1,1
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,1,0,0,1,1,33,1963,28,1,0,0,0,1,0,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,0,1,44,1944,11,1,0,0,1,0,1,0,1
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,1,0,0,1,1,30,1988,12,1,0,1,0,0,1,1,1
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,1,1,39,1987,12,1,0,1,0,0,1,0,1
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,1,0,0,1,1,28,1963,9,1,0,1,0,0,1,1,1
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,0,1,25,1946,20,1,0,1,0,0,0,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,0,1,52,1988,139,1,0,1,0,0,1,0,1
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,1,1,28,1959,10,1,0,1,0,0,0,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,1,0,35,1961,14,1,0,1,0,0,1,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,0,1,43,2008,1,0,1,0,0,1,1,0,1
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,0,1,30,1964,7,1,0,1,0,0,1,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,0,1,43,1941,8,1,0,1,0,0,1,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,0,1,68,1988,50,1,0,0,0,0,1,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,1,1,84,1969,13,1,0,0,1,0,1,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,0.55113796,0.977381287,37.81188536,1959.11783,24.49654686,0.975410988,0.022621891,0.587946052,0.091317786,0.243748244,0.739393088,0.057881427,0.372998033
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,0,1,46,1961,7,1,0,0,0,1,0,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,1,0,0,1,1,31,1961,12,1,0,1,0,0,1,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,1,1,36,1963,30,1,0,1,0,0,0,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,0,1,52,1986,24,1,0,1,0,0,1,0,1
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,1,1,18,1923,13,1,0,0,0,1,0,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,0,1,59,1987,8,1,0,0,1,0,1,0,1
